Song Name,Artist,Genre,Popularity,Danceability ,Energy,Loudness,Speechiness,Acousticness,Liveness,Tempo,Duration (ms),Valence
Ice Cream (with Selena Gomez),BLACKPINK,"['k-pop', 'k-pop girl group']",71,0.79,0.701,-4.81,0.365,0.0317,0.0311,159.972,177813,0.91
Be Kind (with Halsey),Marshmello,"['brostep', 'edm', 'pop', 'pop dance', 'progressive electro house']",80,0.63,0.633,-7.088,0.0457,0.00776,0.0541,93.995,172762,0.452
Fever,"Dua Lipa, Ang?le","['dance pop', 'pop', 'uk pop']",73,0.868,0.693,-7.052,0.181,0.0597,0.106,114.999,156911,0.396
Angst,Apache 207,['german hip hop'],67,0.599,0.79,-4.352,0.386,0.0213,0.0778,100.119,201501,0.528
"no body, no crime (feat. HAIM)",Taylor Swift,"['pop', 'post-teen pop']",68,0.546,0.613,-7.589,0.0264,0.418,0.103,79.015,215627,0.535
Sunday Best,Surfaces,"['bedroom soul', 'pop']",80,0.878,0.525,-6.832,0.0578,0.183,0.0714,112.022,158571,0.694
Happier,"Marshmello, Bastille","['brostep', 'edm', 'pop', 'pop dance', 'progressive electro house']",82,0.687,0.792,-2.749,0.0452,0.191,0.167,100.015,214290,0.671
Don't Stop Me Now - Remastered 2011,Queen,"['classic rock', 'glam rock', 'rock']",74,0.563,0.865,-5.277,0.16,0.0472,0.77,156.271,209413,0.601
Azul,J Balvin,"['latin', 'reggaeton', 'reggaeton colombiano']",77,0.843,0.836,-2.474,0.0695,0.0816,0.0532,94.018,205933,0.65
Basta Voc? Me Ligar - Ao Vivo,"Os Bar?es Da Pisadinha, Xand Avi?o","['forro', 'piseiro']",68,0.599,0.914,-2.415,0.0629,0.5,0.694,168.008,182977,0.831
Tequila Shots,Kid Cudi,"['hip hop', 'ohio hip hop', 'pop rap', 'rap']",74,0.712,0.556,-7.214,0.0531,0.084,0.527,90.494,193293,0.22
Lose Control,"MEDUZA, Becky Hill, Goodboys","['dance pop', 'edm', 'pop dance', 'pop house', 'tropical house']",82,0.598,0.526,-8.659,0.0415,0.129,0.14,123.935,168387,0.529
I CAN'T STOP ME,TWICE,"['k-pop', 'k-pop girl group']",76,0.657,0.88,-3.672,0.102,0.121,0.463,150.084,205493,0.769
E-GIRLS ARE RUINING MY LIFE!,"CORPSE, Savage Ga$p","['dream smp', 'viral rap']",77,0.614,0.937,-7.443,0.115,0.00161,0.103,84.98,105176,0.386
All I Want for Christmas Is You,Mariah Carey,"['dance pop', 'pop', 'r&b', 'urban contemporary']",65,0.336,0.627,-7.463,0.0384,0.164,0.0708,150.273,241107,0.35
Last Christmas,Wham!,"['disco', 'europop', 'new romantic', 'new wave', 'new wave pop', 'soft rock', 'synthpop']",63,0.735,0.478,-12.472,0.0293,0.189,0.355,107.682,262960,0.947
